Keskimääräinen LVK%,Keskimääräinen h-määrä 2012,Keskimääräinen h-määrä 2013,Keskimääräinen h-määrä 2014,Keskimääräinen h-määrä 2015,Toimialakoodi,Toimiala
-80.3,393,296,0,11,78200,Työvoiman vuokraus
-53.8,68,0,54,48,28210,Teollisuusuunien, lämmitysjärjestelmien ja tulipesäpolttimien valmistus
-37.6,5031,5097,4989,4906,19200,Jalostettujen öljytuotteiden valmistus
-37.1,143,134,113,35,25210,Keskuslämmityspatterien ja kuumavesivaraajien valmistus
-36.3,58,57,54,48,23320,Poltettujen tiilien ja muun rakennuskeramiikan valmistus
-35.1,35,35,35,32,0,Toimiala tuntematon
-29.3,128,128,117,113,31020,Keittiökalusteiden valmistus
-28.1,72,69,53,38,17230,Paperikauppatavaroiden valmistus
-26.8,18,16,16,16,46510,Tietokoneiden, oheislaitteiden ja ohjelmistojen tukkukauppa
-26.6,98,95,196,101,74300,Kääntäminen ja tulkkaus
-25.5,191,196,179,180,42910,Vesirakentaminen
-24.8,172,147,125,99,32120,Jalokivikorujen ja muiden kultasepäntuotteiden valmistus
-23.7,46,49,54,52,25930,Metallilankatuotteiden, ketjujen ja jousien valmistus
-23.7,87,84,84,85,49410,Tieliikenteen tavarankuljetus
-22.4,108,106,106,104,28120,Hydraulisten voimalaitteiden valmistus
-22.2,0,0,0,0,82191,Sihteeri- ja muu toimistopalvelu
-22.1,114,104,89,73,16231,Puutalojen valmistus
-21.1,118,95,86,76,66120,Arvopaperien ja raaka-ainesopimusten välittäminen
-20.9,489,485,440,410,71201,Autokatsastus
-19.2,1346,1316,1233,1178,35114,Sähkön tuotanto ydinvoimalla
-18.9,230,224,226,193,15200,Jalkineiden valmistus
-18.4,125,122,115,111,14130,Muu takkien, pukujen, housujen, hameiden yms. valmistus
-17.8,793,516,453,461,69201,Kirjanpito- ja tilinpäätöspalvelu
-16.9,265,198,144,142,66190,Muu rahoitusta palveleva toiminta (pl. vakuutus- ja eläkevakuutustoiminta)
-16.7,20,20,19,18,46491,Paperi- ja toimistotarvikkeiden tukkukauppa
-16.3,102,99,76,66,28930,Elintarvike-, juoma- ja tupakkateollisuuden koneiden valmistus
-16.0,48,48,40,42,14310,Sukkien ja sukkahousujen valmistus
-16.0,3863,3375,3106,2913,62030,Tietojenkäsittelyn ja laitteistojen käyttö- ja hallintapalvelut
-15.9,254,254,245,216,23990,Muualla luokittelemattomien ei-metallisten mineraalituotteiden valmistus
-15.7,4083,4194,4272,4421,22110,Renkaiden valmistus ja uudelleenpinnoitus
-15.3,60,55,45,47,29100,Moottoriajoneuvojen valmistus
-15.2,49,97,97,90,26200,Tietokoneiden ja niiden oheislaitteiden valmistus
-14.7,103,109,109,112,26600,Säteilylaitteiden sekä elektronisten lääkintä- ja terapialaitteiden valmistus
-14.5,17,16,15,14,17290,Muiden paperi-, kartonki- ja pahvituotteiden valmistus
-14.0,951,926,932,194,33200,Teollisuuden koneiden ja laitteiden ym. asennus
-13.9,59,59,59,55,28950,Paperi-, kartonki- ja pahviteollisuuden koneiden valmistus
-12.7,228,232,233,213,27320,Muiden elektronisten ja sähköjohtojen sekä -kaapelien valmistus
-12.3,53,53,55,56,23640,Muurauslaastin valmistus
-12.1,125,128,98,98,46421,Vaatteiden tukkukauppa
-11.8,68,65,74,61,18120,Muu painaminen
-11.7,58,59,55,52,13922,Tavaranpeitteiden, purjeiden ja muiden sovitettujen tekstiilituotteiden valmistus
-11.5,52,39,31,31,46493,Urheilualan tukkukauppa
-11.2,372,352,348,354,70210,Suhdetoiminta ja viestintä
-11.1,174,166,159,163,73119,Muu mainospalvelu
-11.0,122,125,128,109,71202,Muu tekninen testaus ja analysointi
-11.0,352,333,329,325,42130,Siltojen ja tunneleiden rakentaminen
-10.6,1170,1398,1532,1710,32300,Urheiluvälineiden valmistus
-10.1,76,74,75,59,28150,Laakereiden, hammaspyörien, vaihteisto- ja ohjauselementtien valmistus
-9.6,154,152,150,150,20160,Muoviaineiden valmistus
-9.4,381,372,257,234,23120,Tasolasin muotoilu ja muokkaus
-9.1,15,15,17,17,2100,Metsänhoito
-9.0,79,78,78,77,28490,Muiden konetyökalujen valmistus
-8.4,41,41,37,26,8120,Soran, hiekan, saven ja kaoliinin otto
-8.1,219,219,216,213,23510,Sementin valmistus
-7.9,84,74,76,72,8990,Muualla luokittelematon kaivostoiminta ja louhinta
-6.9,1757,1702,1694,1402,24100,Raudan, teräksen ja rautaseosten valmistus
-6.4,64,67,69,56,22230,Rakennusmuovien valmistus
-6.2,0,0,0,44,23190,Muu lasin valmistus ja muokkaus, mukaan lukien tekniset lasituotteet
-6.0,365,383,366,355,28920,Kaivos-, louhinta- ja rakennuskoneiden valmistus
-5.3,140,143,149,151,25940,Kiinnittimien ja ruuvituotteiden valmistus
-4.8,516,526,522,516,20150,Lannoitteiden ja typpiyhdisteiden valmistus
-4.6,91,88,88,89,35130,Sähkön jakelu
-4.5,168,152,122,120,17212,Aaltopahvin sekä paperi- ja kartonkipakkausten valmistus
-4.0,16,16,17,22,35302,Teollisuutta palveleva lämmön ja kylmän erillistuotanto
-4.0,18,18,18,17,36000,Veden otto, puhdistus ja jakelu
-3.5,32,29,30,31,16240,Puupakkausten valmistus
-3.3,2319,2365,2355,2355,24440,Kuparin valmistus
-2.6,36,36,0,0,16220,Asennettavien parkettilevyjen valmistus
-2.4,118,121,95,78,43910,Kattorakenteiden asennus ja kattaminen
-2.3,110,95,90,73,23700,Kiven leikkaaminen, muotoilu ja viimeistely
-1.9,85,89,82,94,25500,Metallin takominen, puristaminen, meistäminen ja valssaus; jauhemetallurgia
-1.5,44,43,42,36,23630,Valmisbetonin valmistus
-1.5,162,164,163,115,46422,Jalkineiden tukkukauppa
-1.5,1738,1656,1630,1621,20300,Maalien, lakan, painovärien yms. valmistus
-1.2,35,32,32,33,18110,Sanomalehtien painaminen
-1.1,48,39,39,40,26300,Viestintälaitteiden valmistus
-1.1,800,812,806,787,66110,Pörssitoiminta ja rahoitusmarkkinoiden hallinnolliset tukipalvelut
-0.4,78,83,86,84,28140,Muiden hanojen ja venttiilien valmistus
-0.4,487,497,489,456,58130,Sanomalehtien kustantaminen
-0.2,8093,7888,7743,7284,17120,Paperin, kartongin ja pahvin valmistus
0.0,10318,9633,9820,10385,29310,Sähkö- ja elektroniikkalaitteiden valmistus moottoriajoneuvoihin
0.2,21,22,21,19,17211,Paperisäkkien ja -pussien valmistus
0.7,1,1,1,1,2400,Metsätaloutta palveleva toiminta
1.1,243,221,196,73,61100,Langallisen verkon hallinta ja palvelut
1.5,24,24,13,12,42999,Muu muualla luokittelematon maa- ja vesirakentaminen
2.2,2074,2323,2205,2142,64200,Rahoitusalan holdingyhtiöiden toiminta
2.7,106,106,88,92,29200,Moottoriajoneuvojen korien valmistus; perävaunujen ja puoliperävaunujen valmistus
3.0,316,324,347,348,26510,Mittaus-, testaus- ja navigointivälineiden ja -laitteiden valmistus
3.5,88,88,84,79,35140,Sähkön kauppa
3.8,144,0,0,0,27510,Sähköisten kodinkoneiden valmistus
4.1,276,283,304,292,28300,Maa- ja metsätalouskoneiden valmistus
4.7,28,25,26,26,73112,Suora- ja ulkomainonta
5.1,83,87,88,90,35120,Sähkön siirto
5.3,160,155,158,162,26120,Kalustettujen piirilevyjen valmistus
5.6,110,112,108,96,82300,Messujen ja kongressien järjestäminen
5.7,69,69,63,46,32999,Muu muualla luokittelemattomien tuotteiden valmistus
6.0,2,8,10,12,35115,Teollisuutta palveleva sähkön ja lämmön tuotanto
6.1,1710,1684,1478,1437,38110,Tavanomaisen jätteen keruu
6.2,32,0,0,0,79900,Varauspalvelut, matkaoppaiden palvelut ym.
6.4,49,49,46,52,33121,Yleiskäyttöön tarkoitettujen koneiden korjaus ja huolto
6.4,18930,18339,18042,18565,28110,Moottorien ja turbiinien valmistus (pl. lentokoneiden ja ajoneuvojen moottorit)
6.6,208,189,165,160,41100,Rakennuttaminen ja rakennushankkeiden kehittäminen
7.1,16,15,15,9,35301,Kaukolämmön ja -kylmän erillistuotanto ja jakelu
7.5,121,95,96,129,28410,Metallin työstökoneiden valmistus
7.7,24,25,22,23,46739,Rakennustarvikkeiden yleistukkukauppa
7.7,10701,9729,9258,9402,70100,Pääkonttorien toiminta
7.8,26,27,26,26,23200,Tulenkestävien keraamisten tuotteiden valmistus
8.1,36,38,44,27,77320,Rakennuskoneiden ja -laitteiden vuokraus ja leasing
8.1,497,526,473,460,47719,Vaatteiden yleisvähittäiskauppa
8.3,299,326,309,334,24200,Putkien, profiiliputkien ja niihin liittyvien tarvikkeiden valmistus teräksestä
8.5,0,0,0,0,68100,Omien kiinteistöjen kauppa
8.8,73,70,58,55,28990,Muualla luokittelematon erikoiskoneiden valmistus
8.9,6,7,6,6,46732,Puutavaratuotetukkukauppa
9.0,583,604,698,682,32501,Lääkintä- ja hammaslääkintäinstrumenttien ja -tarvikkeiden valmistus (pl. hammasproteesit)
9.3,99,95,100,94,25120,Metalliovien ja -ikkunoiden valmistus
9.4,23,24,26,26,15120,Matka-, käsi- ym. laukkujen, satuloiden ja valjaiden valmistus
9.6,371,363,387,387,33129,Muiden erikoiskoneiden korjaus ja huolto
10.3,124,120,126,126,1700,Metsästys ja sitä palveleva toiminta
10.6,32,32,33,35,23140,Lasikuitujen valmistus
10.9,27,27,29,28,27400,Sähkölamppujen ja valaisimien valmistus
10.9,50,50,50,43,42210,Yleisten jakeluverkkojen rakentaminen nestemäisiä ja kaasumaisia aineita varten
11.2,5138,5373,5722,5991,28220,Nosto- ja siirtolaitteiden valmistus
11.5,260,253,244,229,8112,Kalkkikiven, kipsin, liidun ja dolomiitin louhinta
11.6,121,136,135,142,82200,Puhelinpalvelukeskusten toiminta
12.7,1178,1194,1186,1170,21200,Lääkkeiden ja muiden lääkevalmisteiden valmistus
12.9,117,123,124,126,22210,Muovilevyjen, -kalvojen, -putkien ja -profiilien valmistus
13.4,46,47,47,22,81100,Kiinteistönhoito
13.5,240,252,198,208,63110,Tietojenkäsittely, palvelintilan vuokraus ja niihin liittyvät palvelut
15.5,22,23,24,22,14120,Työvaatteiden valmistus
16.3,93,97,97,95,28290,Muualla luokittelematon yleiskäyttöön tarkoitettujen koneiden valmistus
16.7,415,437,442,422,42110,Teiden ja moottoriteiden rakentaminen
17.0,52,51,52,49,71121,Yhdyskuntasuunnittelu
17.0,215,210,196,232,74909,Muu ammatillinen, tieteellinen ja tekninen toiminta
17.1,566,540,549,691,26110,Elektronisten komponenttien valmistus
17.3,150,159,161,160,20140,Muiden orgaanisten peruskemikaalien valmistus
18.1,64,66,64,70,71124,LVI-tekninen suunnittelu
18.4,38,42,42,42,38320,Lajiteltujen materiaalien kierrätys
19.0,45,45,38,43,25990,Muiden metallituotteiden valmistus
19.1,79,78,83,84,29320,Muiden osien ja tarvikkeiden valmistus moottoriajoneuvoihin
19.7,67,67,65,66,25110,Metallirakenteiden ja niiden osien valmistus
20.0,11,18,19,20,63990,Muualla luokittelematon tietopalvelutoiminta
20.0,113,92,89,165,80100,Yksityiset turvallisuuspalvelut
